Postal Code, Amenity Count, Shop Count, Tourism Count
6224LK, 2, 0, 0
6224LJ, 0, 0, 0
6224LM, 0, 0, 0
6224LL, 0, 0, 0
6224LG, 2, 0, 0
6224LH, 0, 0, 0
6224LC, 0, 0, 0
6224LB, 0, 0, 0
6224LE, 2, 2, 0
6224LD, 0, 0, 0
6224LA, 2, 0, 0
6224KZ, 1, 0, 0
6211HX, 8, 9, 3
6211HZ, 23, 4, 6
6224KV, 2, 0, 1
6211HT, 30, 6, 7
6215PX, 1, 0, 0
6211HW, 13, 11, 6
6224KX, 1, 0, 0
6211HV, 19, 4, 6
6215PZ, 1, 0, 0
6224KW, 1, 0, 0
6224KR, 1, 0, 0
6228SV, 1, 1, 0
6211HP, 22, 4, 6
6215PT, 0, 0, 0
6215PW, 0, 0, 0
6224KT, 1, 0, 0
6228SX, 0, 0, 0
6211HR, 30, 4, 8
6215PV, 0, 0, 0
6224KS, 2, 0, 0
6228SW, 0, 1, 0
6211HM, 17, 3, 13
6224KN, 0, 0, 0
6228SR, 0, 0, 0
6211HL, 33, 3, 11
6215PP, 1, 0, 1
6224KM, 0, 0, 0
6215PS, 0, 0, 0
6224KP, 1, 0, 0
6228ST, 0, 0, 0
6211HN, 29, 3, 7
6215PR, 1, 0, 1
6215PM, 0, 0, 0
6224KJ, 0, 0, 0
6228SN, 2, 0, 0
6211HH, 19, 0, 14
6215PL, 1, 0, 0
6228SM, 0, 1, 0
6211HK, 20, 0, 13
6224KL, 0, 0, 0
6228SP, 3, 0, 0
6215PN, 0, 0, 0
6224KK, 0, 0, 0
6211HE, 33, 26, 10
6228SJ, 2, 0, 0
6211HD, 27, 47, 13
6215PH, 1, 0, 0
6224KE, 0, 0, 0
6215PK, 1, 0, 0
6224KH, 0, 0, 0
6215PJ, 1, 0, 0
6224KG, 0, 0, 0
6211HA, 8, 21, 2
6224KB, 3, 0, 0
6224KA, 3, 0, 0
6228SE, 0, 0, 0
6211HC, 23, 39, 2
6224KD, 1, 0, 0
6228SH, 2, 0, 0
6211HB, 23, 29, 4
6224KC, 3, 0, 0
6228SG, 0, 0, 0
6228SB, 3, 0, 0
6228SC, 0, 0, 0
6211GX, 24, 86, 3
6211GW, 27, 70, 1
6224JX, 0, 0, 1
6211GZ, 18, 58, 4
6224JZ, 2, 0, 1
6211GT, 34, 78, 1
6211GS, 25, 86, 1
6224JT, 4, 0, 0
6211GV, 40, 51, 4
6224JV, 0, 0, 0
6224JP, 1, 0, 0
6211GR, 24, 102, 2
6224JS, 1, 0, 0
6224JR, 1, 0, 0
6211GL, 24, 119, 1
6224JM, 1, 0, 0
6211GK, 21, 122, 1
6224JL, 2, 0, 0
6211GN, 18, 91, 6
6211GM, 20, 102, 6
6224JN, 1, 0, 0
6224JH, 4, 0, 0
6211GJ, 18, 111, 9
6224JK, 1, 0, 0
6224JJ, 4, 2, 0
6211GD, 15, 84, 7
6224JE, 1, 0, 1
6211GC, 23, 30, 12
6224JD, 1, 0, 0
6224JG, 1, 0, 0
6224JA, 3, 0, 0
6211GB, 16, 80, 5
6224JC, 1, 2, 0
6211GA, 23, 59, 12
6224JB, 6, 0, 0
6211EZ, 25, 10, 7
6211EV, 23, 65, 0
6224HW, 1, 4, 0
6224HV, 2, 1, 0
6211EX, 11, 43, 5
6224HX, 1, 2, 0
6211ER, 36, 90, 1
6224HR, 3, 0, 0
6211ET, 29, 98, 1
6211ES, 27, 109, 0
6224HT, 1, 4, 0
6211EN, 30, 47, 2
6211EM, 21, 52, 3
6224HN, 0, 0, 0
6211EP, 32, 69, 2
6224HP, 0, 0, 0
6211EL, 27, 56, 3
6224HM, 0, 0, 0
6224HL, 1, 3, 0
6224HG, 0, 0, 0
6224HH, 0, 0, 0
6211EB, 39, 101, 1
6224HC, 0, 0, 0
6211EA, 42, 71, 3
6224HB, 0, 0, 0
6211ED, 25, 111, 1
6224HE, 0, 0, 0
6211EC, 23, 114, 2
6224HD, 0, 0, 0
6224HA, 0, 0, 0
6224GZ, 2, 0, 0
6224GV, 2, 1, 0
6224GX, 0, 0, 0
6224GW, 0, 0, 0
6224GR, 0, 0, 0
6224GT, 5, 4, 0
6224GS, 1, 3, 0
6224GN, 2, 4, 0
6224GM, 1, 3, 0
6224GP, 4, 2, 0
6224GJ, 6, 3, 0
6224GL, 0, 0, 0
6224GK, 8, 2, 0
6211DE, 19, 123, 4
6224GE, 0, 1, 0
6211DA, 12, 55, 5
6224GB, 0, 2, 0
6224GA, 0, 0, 0
6224GD, 0, 3, 0
6224GC, 0, 4, 0
6211CW, 13, 107, 1
6211CS, 39, 92, 0
6211CP, 23, 81, 1
6211CR, 30, 104, 1
6211CL, 41, 71, 0
6211CK, 37, 13, 4
6211CM, 30, 96, 0
6211CH, 31, 42, 0
6215KL, 0, 0, 0
6215KK, 0, 0, 0
6211CJ, 25, 5, 3
6215KN, 0, 0, 0
6215KM, 1, 0, 0
6211CD, 6, 12, 2
6215KH, 0, 0, 0
6211CC, 7, 0, 2
6215KG, 0, 0, 0
6215KJ, 0, 0, 0
6211CE, 12, 19, 5
6215KD, 0, 0, 0
6215KC, 0, 0, 0
6211CB, 7, 12, 3
6211CA, 9, 13, 3
6215KE, 0, 0, 0
6211BZ, 19, 7, 3
6215KB, 0, 0, 0
6215KA, 1, 0, 0
6211BW, 13, 1, 3
6224EX, 1, 2, 0
6211BV, 29, 4, 6
6224EW, 0, 0, 0
6224EZ, 0, 0, 0
6211BX, 9, 1, 3
6211BS, 22, 8, 5
6224ET, 0, 1, 0
6215JV, 0, 0, 0
6224ES, 0, 0, 0
6224EV, 0, 1, 0
6211BT, 20, 7, 3
6215JS, 0, 0, 0
6224EP, 0, 0, 0
6211BN, 16, 6, 3
6215JR, 0, 0, 0
6224ER, 2, 1, 0
6211BP, 15, 4, 1
6215JT, 0, 0, 0
6211BK, 15, 6, 2
6224EL, 1, 4, 0
6211BJ, 9, 1, 2
6215JN, 0, 0, 0
6224EK, 1, 4, 0
6224EN, 1, 0, 0
6211BL, 9, 1, 2
6215JP, 0, 0, 0
6224EM, 2, 1, 0
6211BG, 11, 0, 1
6215JK, 0, 0, 0
6224EH, 2, 0, 2
6215JJ, 0, 0, 0
6224EG, 1, 0, 1
6215JM, 1, 0, 0
6211BH, 9, 3, 0
6215JL, 0, 0, 0
6211BC, 14, 0, 0
6215JG, 0, 0, 0
6224ED, 0, 0, 1
6211BB, 7, 2, 3
6224EC, 0, 0, 1
6211BE, 10, 3, 3
6211BD, 13, 0, 1
6215JH, 0, 0, 0
6224EE, 0, 0, 1
6215JC, 0, 0, 0
6215JB, 0, 0, 0
6211BA, 12, 0, 0
6215JE, 0, 0, 0
6224EB, 1, 0, 1
6215JD, 0, 0, 0
6211AZ, 22, 6, 4
6224DZ, 0, 1, 0
6215JA, 0, 0, 0
6211AV, 20, 9, 4
6211AX, 11, 6, 4
6211AW, 28, 5, 6
6211AR, 12, 0, 0
6211AT, 12, 4, 3
6211AN, 16, 1, 0
6211AM, 15, 1, 0
6211AP, 6, 1, 2
6211AL, 15, 0, 0
6214VX, 0, 0, 0
6214VW, 0, 0, 0
6214VZ, 0, 0, 0
6214VT, 0, 0, 0
6214VS, 0, 0, 0
6214VV, 0, 0, 0
6214VL, 0, 0, 0
6214VK, 0, 0, 0
6214VN, 0, 0, 0
6214VM, 0, 0, 0
6214VH, 1, 1, 0
6214VG, 0, 0, 0
6214VJ, 0, 0, 0
6227XW, 0, 0, 0
6227XT, 0, 0, 0
6227XS, 0, 0, 0
6227XV, 0, 0, 0
6227XP, 0, 0, 0
6227XR, 0, 0, 0
6227XL, 0, 0, 0
6227XK, 0, 0, 0
6227XN, 0, 0, 0
6227XM, 0, 0, 0
6227XH, 0, 0, 0
6227XG, 0, 0, 0
6227XJ, 0, 0, 0
6227XD, 0, 0, 0
6227XC, 0, 0, 0
6227XE, 0, 0, 0
6227XB, 0, 0, 0
6214TZ, 0, 0, 0
6214TV, 0, 0, 0
6214TX, 0, 0, 0
6214TW, 0, 0, 0
6214TR, 0, 0, 0
6214TT, 0, 0, 0
6214TS, 0, 0, 0
6214TN, 0, 0, 0
6214TM, 0, 0, 0
6214TP, 0, 0, 0
6214TJ, 0, 0, 0
6214TL, 0, 2, 0
6214TK, 0, 0, 0
6214TE, 0, 1, 0
6214TH, 0, 0, 0
6214TG, 0, 0, 0
6214TB, 0, 0, 0
6214TD, 0, 2, 0
6214TC, 0, 2, 0
6227VZ, 0, 0, 0
6214SX, 1, 0, 0
6214SZ, 1, 0, 0
6227VV, 0, 0, 0
6214ST, 0, 0, 0
6214SW, 1, 1, 0
6227VX, 0, 0, 0
6214SV, 1, 1, 0
6227VW, 1, 0, 0
6227VR, 0, 0, 0
6214SP, 0, 1, 0
6227VT, 1, 0, 0
6214SR, 0, 2, 0
6214SM, 1, 1, 0
6227VN, 0, 0, 0
6214SL, 0, 2, 0
6227VM, 2, 0, 0
6227VP, 0, 0, 0
6214SN, 1, 1, 0
6227VJ, 0, 0, 0
6214SH, 1, 1, 0
6214SK, 1, 1, 0
6227VL, 0, 0, 0
6214SJ, 0, 0, 0
6227VK, 1, 0, 0
6214SE, 1, 1, 0
6227VE, 2, 0, 0
6214SG, 0, 0, 0
6227VH, 1, 0, 0
6227VG, 2, 0, 0
6227VB, 0, 0, 0
6227VA, 1, 0, 0
6214SC, 1, 0, 0
6227VD, 0, 0, 0
6227VC, 2, 0, 0
6214RX, 1, 2, 0
6214RW, 1, 0, 0
6214RZ, 0, 0, 0
6214RT, 0, 0, 0
6214RS, 0, 0, 0
6214RV, 1, 0, 0
6214RP, 0, 0, 0
6214RR, 0, 1, 0
6214RL, 0, 0, 0
6214RK, 1, 1, 0
6214RN, 2, 1, 0
6214RM, 1, 0, 0
6214RH, 1, 1, 0
6214RG, 0, 1, 0
6214RJ, 3, 0, 0
6214RC, 1, 1, 0
6214RE, 1, 1, 0
6214RB, 2, 1, 0
6227TX, 0, 0, 0
6227TW, 0, 0, 0
6227TZ, 0, 0, 0
6227TT, 0, 0, 0
6227TS, 0, 0, 0
6227TV, 2, 0, 0
6227TP, 0, 0, 0
6227TR, 0, 0, 0
6227TL, 0, 0, 0
6227TK, 0, 0, 0
6227TN, 0, 0, 0
6227TM, 0, 0, 0
6227TH, 0, 0, 0
6227TG, 0, 0, 0
6227TJ, 0, 0, 0
6227TD, 0, 0, 0
6227TE, 0, 0, 0
6227TB, 0, 0, 0
6227TA, 0, 0, 0
6214PZ, 2, 2, 0
6227SZ, 0, 0, 0
6214PV, 2, 1, 0
6218XZ, 0, 0, 0
6227SW, 1, 0, 0
6227SV, 0, 0, 0
6214PX, 2, 1, 0
6214PW, 2, 1, 0
6227SX, 0, 0, 0
6214PR, 1, 2, 0
6227SR, 1, 0, 0
6214PT, 0, 2, 0
6218XX, 1, 0, 0
6214PS, 3, 1, 0
6227ST, 0, 0, 0
6214PN, 0, 1, 0
6214PM, 3, 0, 0
6227SN, 3, 1, 0
6214PP, 2, 1, 0
6227SP, 1, 0, 0
6214PJ, 0, 0, 0
6227SK, 0, 0, 0
6227SJ, 0, 0, 0
6214PL, 0, 2, 0
6227SM, 1, 0, 0
6214PK, 3, 0, 0
6227SL, 0, 0, 0
6227SG, 0, 0, 0
6214PE, 3, 1, 0
6214PH, 0, 1, 0
6214PG, 0, 0, 0
6227SH, 1, 0, 0
6214PB, 1, 0, 0
6227SC, 1, 0, 0
6214PA, 1, 0, 0
6227SB, 0, 0, 0
6214PD, 1, 0, 0
6214PC, 4, 1, 0
6218XG, 0, 0, 0
6218XB, 1, 0, 0
6218XA, 0, 0, 0
6218XD, 1, 0, 0
6218XC, 1, 0, 0
6227RZ, 0, 0, 0
6227RV, 0, 0, 0
6227RX, 0, 0, 0
6227RW, 0, 0, 0
6227RR, 1, 0, 0
6227RT, 0, 0, 0
6227RS, 1, 0, 0
6228CZ, 0, 0, 0
6228CV, 0, 0, 0
6228CX, 1, 0, 0
6228CW, 1, 0, 0
6228CR, 1, 0, 0
6228CT, 1, 0, 0
6228CS, 1, 0, 0
6228CN, 0, 0, 0
6228CM, 0, 0, 0
6228CP, 1, 0, 0
6228CK, 1, 0, 0
6228CB, 0, 0, 0
6228CA, 1, 0, 0
6228CD, 0, 0, 0
6228CC, 1, 0, 0
6228BT, 4, 0, 0
6228BV, 1, 0, 0
6228BP, 0, 0, 0
6228BS, 1, 0, 0
6228BR, 0, 1, 0
6228BL, 0, 0, 0
6228BN, 0, 0, 0
6228BH, 0, 0, 0
6228BK, 0, 0, 0
6228BJ, 0, 0, 0
6228BE, 0, 0, 0
6228BD, 7, 1, 0
6228BG, 0, 0, 0
6228BA, 0, 0, 0
6228BC, 0, 0, 0
6228AX, 0, 0, 0
6228AZ, 0, 0, 0
6228AT, 0, 0, 0
6228AS, 0, 0, 0
6228AR, 0, 0, 0
6228AL, 0, 0, 0
6228AK, 0, 0, 0
6228AN, 0, 0, 0
6228AM, 0, 0, 0
6228AH, 0, 0, 0
6228AG, 0, 0, 0
6228AJ, 0, 0, 0
6228AE, 0, 0, 0
6219CZ, 1, 1, 0
6219BZ, 0, 0, 0
6219BW, 0, 0, 0
6219BV, 0, 0, 0
6219BX, 0, 0, 0
6219BS, 0, 0, 0
6219BR, 0, 0, 0
6219BT, 0, 0, 0
6219BN, 0, 0, 0
6219BP, 0, 0, 0
6219BK, 0, 0, 0
6219BJ, 0, 0, 0
6219BM, 0, 0, 0
6219BG, 0, 0, 0
6219BH, 0, 0, 0
6219BC, 0, 0, 0
6219BB, 0, 0, 0
6219BE, 1, 1, 0
6219BD, 0, 0, 0
6214XZ, 0, 0, 0
6219BA, 0, 0, 0
6219AZ, 0, 0, 0
6214XX, 0, 0, 0
6219AV, 1, 0, 0
6219AX, 0, 0, 0
6219AW, 0, 0, 0
6214XN, 0, 0, 0
6219AR, 2, 0, 0
6214XM, 0, 0, 0
6214XP, 0, 0, 0
6219AT, 2, 0, 0
6219AS, 2, 0, 0
6214XJ, 0, 0, 0
6219AN, 1, 0, 0
6219AM, 1, 0, 0
6214XL, 0, 0, 0
6219AP, 2, 0, 0
6214XK, 0, 0, 0
6219AJ, 1, 0, 0
6214XH, 0, 0, 0
6219AL, 1, 0, 0
6214XG, 0, 0, 0
6219AK, 0, 0, 0
6214XA, 0, 0, 0
6219AE, 1, 0, 0
6219AH, 1, 0, 0
6214XC, 0, 0, 0
6219AG, 1, 0, 0
6219AB, 1, 0, 0
6219AA, 1, 0, 0
6219AD, 1, 0, 0
6219AC, 0, 0, 0
6223BB, 0, 0, 0
6223BA, 0, 0, 0
6223BD, 2, 0, 1
6223BC, 0, 0, 0
6223AX, 0, 0, 0
6223AZ, 0, 0, 0
6223AT, 0, 0, 0
6223AW, 0, 0, 0
6223AV, 0, 0, 0
6223AP, 0, 0, 0
6223AS, 0, 0, 0
6223AR, 0, 0, 0
6223AM, 0, 0, 0
6223AL, 1, 0, 1
6223AN, 0, 0, 0
6223AH, 0, 0, 0
6223AK, 1, 0, 1
6223AJ, 0, 0, 0
6223AE, 0, 0, 0
6223AD, 0, 0, 0
6223AG, 1, 0, 0
6223AC, 0, 0, 0
6223AB, 0, 0, 0
6218ND, 0, 0, 0
6218NC, 0, 0, 0
6218NE, 0, 0, 0
6218NB, 0, 0, 0
6218NA, 0, 0, 0
6227HR, 0, 0, 0
6227HL, 0, 0, 0
6227HK, 0, 0, 0
6227HN, 0, 0, 0
6227HM, 0, 0, 0
6227HJ, 0, 0, 0
6227HD, 0, 0, 0
6227HE, 0, 0, 0
6227HB, 0, 0, 1
6227HA, 0, 0, 0
6227GV, 0, 0, 0
6227GS, 1, 0, 0
6227GR, 0, 0, 0
6227GT, 1, 0, 0
6227GN, 0, 0, 0
6227GP, 0, 0, 0
6227GK, 0, 0, 0
6227GJ, 0, 0, 0
6227GM, 0, 0, 1
6227GL, 0, 0, 0
6227GH, 1, 0, 0
6227GC, 1, 0, 0
6214DA, 1, 0, 0
6227GB, 0, 0, 0
6227GE, 1, 0, 0
6227GA, 1, 0, 0
6227EX, 0, 0, 0
6227ET, 1, 0, 0
6227EW, 1, 0, 0
6227EV, 0, 0, 0
6227EP, 0, 0, 0
6227ES, 1, 0, 0
6227ER, 0, 0, 0
6227EL, 0, 0, 0
6227EN, 0, 0, 0
6214BH, 7, 0, 1
6214BG, 0, 1, 0
6227EH, 0, 0, 0
6227EJ, 0, 0, 0
6214BD, 0, 0, 0
6227EE, 0, 0, 0
6214BC, 0, 4, 0
6227ED, 0, 0, 0
6227EG, 0, 0, 0
6214BE, 0, 0, 0
6227EA, 0, 0, 0
6214BB, 2, 0, 1
6227EC, 0, 0, 0
6214BA, 2, 0, 1
6227EB, 0, 0, 0
6214AZ, 1, 1, 0
6214AW, 1, 1, 0
6214AV, 2, 1, 0
6214AX, 2, 0, 1
6214AS, 1, 1, 0
6214AR, 1, 1, 0
6214AT, 3, 2, 0
6214AN, 5, 2, 0
6214AP, 2, 1, 0
6214AK, 1, 1, 0
6214AJ, 1, 0, 0
6214AM, 4, 1, 0
6214AL, 4, 1, 0
6214AG, 2, 0, 0
6214AH, 4, 3, 0
6214AC, 5, 2, 0
6214AB, 5, 2, 0
6214AE, 4, 3, 0
6214AD, 3, 0, 0
6214AA, 1, 1, 0
6227DB, 0, 0, 1
6227DA, 2, 2, 0
6227CV, 8, 12, 0
6227CR, 0, 0, 0
6218HW, 0, 0, 1
6227CN, 0, 0, 0
6218HT, 0, 0, 0
6218HS, 0, 0, 0
6227CP, 0, 0, 0
6218HN, 0, 0, 0
6227CK, 2, 0, 0
6218HM, 0, 0, 0
6218HP, 0, 0, 0
6227CM, 0, 0, 0
6227CL, 2, 0, 0
6218HJ, 0, 0, 0
6227CG, 7, 10, 0
6218HL, 0, 0, 0
6218HK, 0, 0, 0
6227CH, 5, 3, 0
6227CC, 5, 5, 0
6218HE, 0, 0, 0
6227CB, 5, 1, 0
6218HH, 0, 0, 0
6227CE, 7, 6, 0
6218HG, 0, 0, 0
6227CD, 6, 5, 0
6218HB, 0, 0, 0
6218HA, 0, 0, 0
6218HD, 0, 0, 0
6218HC, 0, 0, 0
6227BZ, 1, 0, 0
6227BV, 2, 2, 0
6218GX, 0, 0, 0
6227BX, 4, 2, 0
6218GZ, 0, 0, 0
6227BW, 1, 0, 0
6227BR, 0, 0, 0
6218GT, 0, 0, 0
6218GW, 0, 0, 0
6227BT, 4, 2, 0
6218GV, 0, 0, 0
6227BS, 4, 0, 0
6227BN, 9, 14, 0
6218GP, 0, 0, 0
6227BM, 0, 0, 0
6227BP, 2, 1, 0
6218GR, 0, 0, 0
6218GM, 0, 0, 0
6227BJ, 0, 0, 0
6218GL, 0, 0, 0
6227BL, 1, 0, 0
6218GN, 0, 0, 0
6227BK, 10, 17, 0
6218GH, 0, 0, 0
6227BE, 0, 2, 0
6218GK, 0, 0, 0
6227BH, 2, 7, 0
6218GJ, 0, 0, 0
6227BG, 2, 1, 0
6218GE, 0, 0, 0
6227BB, 0, 0, 1
6218GD, 0, 0, 0
6227BA, 0, 0, 1
6218GG, 0, 0, 0
6227BD, 1, 1, 1
6227BC, 0, 0, 1
6227RN, 0, 0, 0
6227RM, 0, 0, 0
6227RP, 1, 0, 0
6227RJ, 1, 0, 0
6227RL, 0, 0, 0
6227RK, 0, 0, 0
6218WH, 0, 0, 0
6227RE, 1, 0, 0
6227RH, 0, 0, 0
6227RG, 1, 0, 0
6218WE, 1, 0, 0
6218WD, 1, 0, 0
6218WG, 0, 0, 0
6227RD, 0, 0, 0
6227RC, 0, 0, 0
6218WC, 0, 0, 0
6218WB, 0, 0, 0
6218VX, 0, 0, 0
6218VW, 4, 6, 0
6218VZ, 0, 0, 0
6218VT, 0, 0, 0
6218VS, 3, 6, 0
6218VV, 1, 0, 0
6218VP, 0, 0, 0
6218VR, 1, 0, 0
6218VL, 0, 0, 0
6218VK, 0, 0, 0
6218VN, 1, 4, 0
6218VM, 0, 0, 0
6218VH, 3, 3, 1
6218VG, 4, 2, 0
6218VJ, 0, 0, 0
6218VD, 4, 2, 0
6218VC, 1, 0, 1
6218VB, 1, 0, 0
6218VA, 0, 0, 0
6223HV, 0, 1, 0
6223HG, 0, 0, 0
6223HD, 3, 0, 0
6223HC, 0, 0, 0
6223HE, 2, 0, 0
6223HB, 1, 0, 0
6223HA, 0, 0, 0
6223GZ, 2, 0, 0
6223GW, 0, 0, 0
6223GX, 2, 0, 0
6223GS, 0, 0, 0
6223GR, 0, 0, 0
6223GT, 0, 0, 0
6223GN, 1, 0, 0
6223GP, 1, 0, 0
6223GM, 1, 0, 0
6223GL, 1, 0, 0
6223GG, 0, 0, 0
6223GH, 0, 0, 0
6218TJ, 0, 0, 1
6223GC, 0, 0, 0
6223GB, 0, 0, 0
6218TL, 1, 0, 1
6223GE, 0, 0, 0
6218TK, 1, 0, 1
6223GD, 0, 0, 0
6218TE, 0, 0, 0
6218TH, 0, 0, 0
6223GA, 0, 0, 0
6218TG, 0, 0, 0
6218TB, 2, 1, 1
6218TA, 0, 0, 1
6218TD, 0, 0, 0
6218TC, 0, 0, 0
6218SX, 0, 0, 0
6218SZ, 0, 0, 0
6218ST, 0, 0, 0
6218SW, 0, 0, 2
6218SV, 0, 0, 1
6218SP, 0, 0, 0
6218SR, 0, 0, 2
6218SM, 0, 0, 0
6218SL, 0, 0, 0
6218SN, 0, 0, 0
6218SH, 0, 0, 0
6218SK, 0, 0, 0
6218SJ, 0, 0, 1
6218SE, 0, 0, 0
6218SG, 0, 0, 0
6218SC, 1, 0, 1
6218SB, 0, 0, 1
6223ET, 0, 0, 0
6223EV, 0, 0, 0
6218RX, 0, 0, 0
6218RW, 0, 0, 0
6218RZ, 0, 0, 0
6218RT, 0, 0, 0
6218RS, 0, 0, 0
6218RV, 0, 0, 0
6218RP, 1, 0, 1
6218RR, 0, 0, 0
6218RL, 0, 0, 0
6223EE, 0, 0, 0
6218RK, 0, 0, 0
6223ED, 0, 0, 0
6218RN, 0, 0, 1
6223EG, 0, 0, 0
6218RM, 0, 0, 0
6218RH, 0, 0, 0
6223EA, 0, 0, 0
6218RG, 0, 0, 0
6218RJ, 1, 0, 0
